date,symbol,news_count,avg_sentiment
2023-08-27,GBPUSD,0,0.000000
2023-08-27,USDJPY,0,0.000000
2023-08-27,AUDUSD,2,0.328500
2023-08-27,USDCAD,0,0.000000
2023-08-27,XAUUSD,0,0.000000
2023-08-28,EURUSD,31,0.239700
2023-08-28,GBPUSD,21,0.264748
2023-08-28,USDJPY,5,0.447640
2023-08-28,AUDUSD,17,0.295176
2023-08-28,USDCAD,9,0.152156
2023-08-28,XAUUSD,1,0.995700
2023-08-29,EURUSD,30,0.148017
2023-08-29,GBPUSD,22,0.287036
2023-08-29,USDJPY,9,0.934789
2023-08-29,AUDUSD,14,0.406764
2023-08-29,USDCAD,7,0.205243
2023-08-29,XAUUSD,0,0.000000
2023-08-30,EURUSD,32,0.095009
2023-08-30,GBPUSD,22,-0.081814
2023-08-30,USDJPY,4,-0.009075
2023-08-30,AUDUSD,17,0.043053
2023-08-30,USDCAD,5,-0.135120
2023-08-30,XAUUSD,0,0.000000
2023-08-31,EURUSD,41,0.174520
2023-08-31,GBPUSD,19,0.012879
2023-08-31,USDJPY,2,0.966850
2023-08-31,AUDUSD,12,0.023108
2023-08-31,USDCAD,9,0.236389
2023-08-31,XAUUSD,0,0.000000
2023-09-01,EURUSD,21,0.083010
2023-09-01,GBPUSD,15,0.173493
2023-09-01,USDJPY,5,0.499580
2023-09-01,AUDUSD,8,0.399387
2023-09-01,USDCAD,7,-0.209557
2023-09-01,XAUUSD,0,0.000000
2023-09-02,EURUSD,6,-0.269883
2023-09-02,GBPUSD,3,-0.277700
2023-09-02,USDJPY,0,0.000000
2023-09-02,AUDUSD,2,0.000000
2023-09-02,USDCAD,1,0.261700
2023-09-02,XAUUSD,0,0.000000
2023-09-03,EURUSD,2,-0.116500
2023-09-03,GBPUSD,3,0.575867
2023-09-03,USDJPY,0,0.000000
2023-09-03,AUDUSD,2,-0.311750
2023-09-03,USDCAD,1,-0.571900
2023-09-03,XAUUSD,0,0.000000
2023-09-04,EURUSD,33,0.006276
2023-09-04,GBPUSD,17,-0.028512
2023-09-04,USDJPY,2,0.849250
2023-09-04,AUDUSD,15,0.130193
2023-09-04,USDCAD,6,-0.048000
2023-09-04,XAUUSD,2,0.798400
2023-09-05,EURUSD,30,-0.064153
2023-09-05,GBPUSD,26,0.180754
2023-09-05,USDJPY,2,0.958850
2023-09-05,AUDUSD,23,-0.068430
2023-09-05,USDCAD,9,0.011300
2023-09-05,XAUUSD,1,0.990100
2023-09-06,EURUSD,38,-0.090679
2023-09-06,GBPUSD,21,-0.303652
2023-09-06,USDJPY,12,0.075000
2023-09-06,AUDUSD,18,-0.002906
2023-09-06,USDCAD,9,0.300167
2023-09-06,XAUUSD,4,0.818775
2023-09-07,EURUSD,29,0.018355
2023-09-07,GBPUSD,19,0.064695
2023-09-07,USDJPY,8,0.564200
2023-09-07,AUDUSD,15,-0.095953
2023-09-07,USDCAD,9,0.343256
2023-09-07,XAUUSD,2,0.606400
2023-09-08,EURUSD,25,0.039296
2023-09-08,GBPUSD,17,0.266324
2023-09-08,USDJPY,5,0.686840
2023-09-08,AUDUSD,11,-0.118845
2023-09-08,USDCAD,14,0.393779
2023-09-08,XAUUSD,2,0.745750
2023-09-09,EURUSD,6,-0.318483
2023-09-09,GBPUSD,3,-0.399267
2023-09-09,USDJPY,0,0.000000
2023-09-09,AUDUSD,2,-0.224550
2023-09-09,USDCAD,1,-0.153100
2023-09-09,XAUUSD,0,0.000000
2023-09-10,EURUSD,2,0.238150
2023-09-10,GBPUSD,0,0.000000
2023-09-10,USDJPY,1,-0.680800
2023-09-10,AUDUSD,1,0.226300
2023-09-10,USDCAD,0,0.000000
2023-09-10,XAUUSD,0,0.000000
2023-09-11,EURUSD,30,0.145303
2023-09-11,GBPUSD,21,-0.030300
2023-09-11,USDJPY,10,0.500800
2023-09-11,AUDUSD,15,0.142007
2023-09-11,USDCAD,8,0.051875
2023-09-11,XAUUSD,0,0.000000
2023-09-12,EURUSD,35,-0.064451
2023-09-12,GBPUSD,32,0.071175
2023-09-12,USDJPY,4,0.849925
2023-09-12,AUDUSD,17,0.070088
2023-09-12,USDCAD,8,-0.397275
2023-09-12,XAUUSD,2,0.987650
2023-09-13,EURUSD,27,0.106189
2023-09-13,GBPUSD,23,0.017096
